#{"t_start": 1746533236.6577878, "env_id": "Pendulum-v1"}
r,l,t
-1590.828253,200,0.093339
-1552.892128,200,0.18203
-1072.662145,200,0.270466
-1334.269638,200,0.360295
-960.216991,200,0.448608
-909.128445,200,0.537265
-940.51878,200,0.624886
-1188.090807,200,0.712214
-1527.686583,200,0.799712
-1073.437001,200,0.887653
-896.342602,200,1.629402
-925.696899,200,1.718488
-958.043258,200,1.804057
-913.636068,200,1.889946
-870.758846,200,1.976449
-1177.15572,200,2.062791
-994.926938,200,2.151034
-894.429676,200,2.239298
-787.894652,200,2.327517
-882.685501,200,2.4148
-1565.612574,200,3.154789
-882.345527,200,3.241826
-1488.772607,200,3.328852
-1555.907212,200,3.418267
-999.952351,200,3.506578
-1227.47626,200,3.595586
-989.538875,200,3.68673
-1309.707038,200,3.774304
-1187.262462,200,3.861688
-632.220151,200,3.95019
-999.06703,200,4.691384
-1124.656065,200,4.777967
-1312.455768,200,4.864612
-1105.157485,200,4.951465
-1022.426842,200,5.03847
-1104.853108,200,5.125286
-878.229822,200,5.213313
-849.715226,200,5.30001
-786.953581,200,5.386937
-856.237908,200,5.473155
-1304.716556,200,6.225366
-895.763812,200,6.312602
-909.192919,200,6.400694
-1012.031327,200,6.487022
-1365.629674,200,6.573141
-1201.64269,200,6.660207
-907.730678,200,6.746102
-1301.843006,200,6.83222
-1823.421854,200,6.918799
-878.835357,200,7.006683
-1279.659429,200,7.093218
-1528.132121,200,7.835528
-1312.787008,200,7.922113
-1053.020558,200,8.008605
-868.043132,200,8.095285
-928.840565,200,8.183446
-857.987433,200,8.270244
-1708.807764,200,8.356877
-972.735734,200,8.443442
-1051.379548,200,8.530455
-1522.019054,200,8.617561
-1093.772044,200,9.373577
-904.458968,200,9.463564
-978.631777,200,9.552806
-995.653728,200,9.642102
-1315.681756,200,9.731045
-901.39056,200,9.82014
-1055.176296,200,9.910181
-1263.785628,200,10.001117
-1098.331702,200,10.090547
-1067.419403,200,10.179752
-1089.907911,200,10.922242
-961.027619,200,11.009689
-1174.294217,200,11.096749
-1213.053759,200,11.185075
-1326.862416,200,11.271759
-1195.151486,200,11.358759
-1051.718494,200,11.445431
-1022.741073,200,11.531665
-1011.47118,200,11.618021
-961.593131,200,11.704621
-1201.48728,200,12.453447
-758.993961,200,12.542997
-1109.701286,200,12.631897
-1085.431227,200,12.720898
-1166.439633,200,12.809714
-893.27631,200,12.898086
-1229.273378,200,12.987615
-1078.079898,200,13.076104
-1019.059687,200,13.16394
-1010.928658,200,13.252115
-889.733088,200,13.341289
-887.865323,200,14.090064
-1762.401808,200,14.180727
-1598.401004,200,14.270424
-1285.009059,200,14.360683
-1129.814531,200,14.450364
-1278.165946,200,14.540245
-1080.585353,200,14.629707
-1256.051211,200,14.719666
-1558.63283,200,14.811642
-1209.71787,200,14.901325
-1525.232324,200,15.647356
-1563.842386,200,15.736483
-1077.666723,200,15.825671
-886.195564,200,15.914795
-1025.53215,200,16.004923
-810.379706,200,16.093609
-881.97688,200,16.181974
-1074.222904,200,16.270912
-859.29916,200,16.360429
-1025.489405,200,16.449828
-1096.480438,200,17.20952
-996.510754,200,17.298681
-977.939969,200,17.388067
-1083.186144,200,17.476995
-1527.079446,200,17.566317
-1034.459435,200,17.655182
-884.848247,200,17.744658
-1431.541203,200,17.834877
-1468.838606,200,17.923003
-935.994843,200,18.011089
-1419.473332,200,18.755123
-1314.602535,200,18.844162
-1026.095603,200,18.93229
-965.005721,200,19.021683
-1346.270285,200,19.109882
-959.24664,200,19.198192
-1179.97152,200,19.287072
-971.290253,200,19.375775
-1457.547503,200,19.464765
-892.05627,200,19.555362
