#{"t_start": 1746533081.4661145, "env_id": "Pendulum-v1"}
r,l,t
-1363.561757,200,0.309664
-1663.509699,200,0.398657
-904.411938,200,0.486711
-1181.865002,200,0.576192
-1315.466595,200,0.666601
-886.681333,200,0.756003
-895.516757,200,0.845893
-1596.220847,200,0.935462
-1126.362747,200,1.026283
-1518.320211,200,1.115492
-1848.618746,200,2.008615
-758.482828,200,2.107094
-1272.798569,200,2.200907
-995.339503,200,2.298906
-1510.621123,200,2.387661
-1585.052721,200,2.480774
-765.558278,200,2.591327
-958.793375,200,2.705006
-1021.942543,200,2.810487
-1464.01307,200,2.907067
-875.471137,200,3.676056
-1099.404209,200,3.769721
-1174.130469,200,3.85985
-1388.978142,200,3.950607
-1074.062591,200,4.040949
-1250.387514,200,4.133363
-1216.0583,200,4.223291
-1607.554207,200,4.313334
-1181.927978,200,4.403305
-1258.491944,200,4.493445
-1768.574587,200,5.247806
-1276.632977,200,5.335294
-1197.682914,200,5.422212
-1304.626115,200,5.514642
-969.264613,200,5.609928
-988.857825,200,5.702414
-1189.076172,200,5.791351
-1288.024758,200,5.881986
-904.682656,200,5.974244
-872.635648,200,6.07297
-874.910387,200,6.819673
-1763.595434,200,6.906916
-1815.313505,200,6.994439
-879.500492,200,7.084139
-1510.299455,200,7.172008
-1411.517981,200,7.259375
-970.262758,200,7.346528
-1427.650328,200,7.433925
-1032.491192,200,7.521877
-1189.60037,200,7.609935
-1584.120162,200,7.706202
-1000.097567,200,8.474844
-1246.026632,200,8.562961
-1471.940568,200,8.650823
-905.713711,200,8.738294
-907.707418,200,8.826
-1383.295466,200,8.921299
-1295.406034,200,9.018012
-856.040507,200,9.114018
-1691.610397,200,9.209903
-1301.225663,200,9.307004
-1062.431787,200,10.107813
-1116.764809,200,10.204449
-954.237512,200,10.295993
-985.322104,200,10.387119
-1008.476619,200,10.477334
-1044.719596,200,10.566379
-881.986361,200,10.655279
-1161.618782,200,10.74391
-815.495812,200,10.832412
-1030.744971,200,10.920711
-972.407426,200,11.677988
-906.355565,200,11.765636
-655.855466,200,11.853784
-1693.703471,200,11.94647
-1370.311437,200,12.037439
-1785.960973,200,12.127986
-1080.991826,200,12.21659
-1370.781698,200,12.305265
-963.107979,200,12.396264
-1173.971831,200,12.487278
-1582.411745,200,13.236006
-999.51351,200,13.324968
-966.927741,200,13.413476
-1098.966279,200,13.501528
-1198.897763,200,13.592981
-897.888444,200,13.68786
-1366.527347,200,13.783494
-1372.181429,200,13.883563
-1191.074395,200,13.98421
-916.459264,200,14.083599
-1790.66075,200,14.182551
-1076.125331,200,14.965709
-1595.867393,200,15.054922
-1076.218366,200,15.144348
-997.737405,200,15.233884
-1396.941388,200,15.32499
-842.889411,200,15.41697
-1581.851197,200,15.506598
-768.97428,200,15.59604
-1555.826673,200,15.704236
-1438.228315,200,15.793938
-1082.244205,200,16.577119
-1045.849282,200,16.667587
-1010.109824,200,16.75898
-959.438471,200,16.848455
-1601.809521,200,16.938796
-865.910859,200,17.02925
-910.903035,200,17.118317
-1781.018699,200,17.212406
-1015.55176,200,17.302647
-886.339223,200,17.391723
-1545.117866,200,18.138035
-978.374933,200,18.227397
-1015.66143,200,18.321289
-793.874199,200,18.410597
-1497.367649,200,18.499389
-1639.535873,200,18.590448
-1079.828872,200,18.678921
-1195.389848,200,18.772579
-972.775201,200,18.865777
-1007.703702,200,18.956104
-1652.305955,200,19.721979
-1024.116213,200,19.813019
-893.165209,200,19.902812
-1190.155252,200,19.991983
-1093.550192,200,20.080928
-844.260484,200,20.17096
-1482.336059,200,20.258996
-1182.922125,200,20.347126
-1528.903914,200,20.434828
-860.489839,200,20.524301
-743.574883,200,20.611595
-1097.105643,200,21.364473
-873.483473,200,21.452658
-1679.084478,200,21.54213
-1203.206739,200,21.630356
-1071.850031,200,21.718328
-1322.106094,200,21.808644
-1098.519266,200,21.895869
-1088.586232,200,21.986297
-1542.630934,200,22.074632
-988.972271,200,22.161907
-1487.661454,200,22.901519
-1049.637829,200,22.992583
-1486.971279,200,23.082083
-1039.440924,200,23.171526
-1568.253041,200,23.260566
-985.467752,200,23.34969
-1122.061061,200,23.439974
-1108.725047,200,23.528782
-1035.288611,200,23.619635
-1035.049809,200,23.710908
-1244.778718,200,24.468938
-857.881375,200,24.558809
-1210.191978,200,24.64749
-952.374045,200,24.738687
-1187.128263,200,24.82977
-1703.005077,200,24.920977
-1066.597604,200,25.011513
-1456.84945,200,25.105333
-1513.49819,200,25.197091
-952.245279,200,25.289073
-1170.346371,200,26.039086
-1135.391957,200,26.128646
-1017.52768,200,26.221164
-1209.46705,200,26.313557
-1256.51917,200,26.402284
-1354.589756,200,26.491143
-1344.278345,200,26.579922
-1179.701323,200,26.669546
-918.904867,200,26.761079
-1234.765407,200,26.852513
-994.679447,200,26.944166
-1024.593414,200,27.693495
-1458.367085,200,27.785911
-1275.176748,200,27.875686
-1177.419414,200,27.96775
-882.365624,200,28.060032
-1341.773412,200,28.153274
-1306.055745,200,28.242864
-768.602718,200,28.335037
-1429.390954,200,28.424449
-1419.130852,200,28.514684
-1556.639236,200,29.266711
-816.009474,200,29.358694
-962.118053,200,29.448599
-1310.971643,200,29.537621
-872.72249,200,29.62643
-1614.466298,200,29.715844
-1246.640805,200,29.805994
-1093.287537,200,29.895185
-1143.506523,200,29.986214
-1460.071645,200,30.075415
-912.963449,200,30.850792
-1063.919972,200,30.939623
-891.743665,200,31.027795
-1667.454,200,31.114918
-1051.417409,200,31.202366
-759.210418,200,31.289026
-1510.324154,200,31.380748
-1026.233411,200,31.469374
-986.254131,200,31.556986
-899.05327,200,31.644317
-900.088549,200,32.421957
-1122.814805,200,32.510806
-1338.463423,200,32.59979
-1392.96601,200,32.68799
-784.063257,200,32.776816
-1071.598467,200,32.865202
-873.58008,200,32.954499
-1446.163566,200,33.043946
-1566.408516,200,33.135689
-975.054503,200,33.226829
-888.218956,200,33.314852
-1488.567222,200,34.064864
-1330.935117,200,34.156052
-1061.311088,200,34.246841
-969.129287,200,34.336129
-1495.869468,200,34.424737
-783.581983,200,34.514636
-1046.401678,200,34.605314
-984.349369,200,34.69784
-986.978617,200,34.789875
-1212.155556,200,34.882572
-1256.585517,200,35.647091
-874.837974,200,35.738972
-1010.377204,200,35.828955
-1058.902047,200,35.921999
-899.037072,200,36.016855
-1051.305192,200,36.109333
-895.674293,200,36.19965
-1009.852589,200,36.289332
-1007.107505,200,36.377752
-1654.894706,200,36.469157
-1022.110304,200,37.240805
-930.068116,200,37.333355
-1045.652499,200,37.425172
-981.761832,200,37.515815
-779.181981,200,37.607847
-1169.053763,200,37.69882
-901.269307,200,37.791647
-794.07551,200,37.885257
-904.162493,200,37.979568
-1015.426655,200,38.069889
-988.055465,200,38.822631
-1781.149049,200,38.912574
-1583.433088,200,39.002698
-1075.621313,200,39.091313
-756.392141,200,39.178277
-762.558358,200,39.265315
-1738.695791,200,39.353951
-1524.125893,200,39.4419
-1359.367309,200,39.528303
-751.809743,200,39.61475
-1589.301324,200,39.701611
-1177.06109,200,40.462514
-1352.607496,200,40.550847
-1222.700846,200,40.637182
-1296.208637,200,40.723951
-1672.119595,200,40.811175
-981.976492,200,40.901149
-1224.06128,200,40.990587
-780.312927,200,41.07752
-1378.820608,200,41.164611
-901.220243,200,41.251588
-970.699833,200,41.994496
-1010.243586,200,42.082995
-1100.441366,200,42.169948
-978.917905,200,42.256644
-1338.364625,200,42.342765
-978.02152,200,42.428726
-753.358583,200,42.515287
-1524.266618,200,42.602741
-1118.179437,200,42.692482
-1479.589768,200,42.780864
-1631.467561,200,43.534861
-1708.198692,200,43.62646
-1116.090642,200,43.720709
-735.650842,200,43.809896
-1127.595093,200,43.901544
-993.969519,200,43.992008
-1649.743928,200,44.081987
-979.050522,200,44.171143
-762.833352,200,44.264237
-1127.718222,200,44.353834
-1077.350862,200,45.116604
-1264.280577,200,45.207529
-1367.407497,200,45.29753
-1347.763743,200,45.38746
-1836.663974,200,45.481073
-1055.466848,200,45.572537
-1033.040268,200,45.661289
-1516.214566,200,45.750816
-772.899076,200,45.843733
-997.926897,200,45.935942
-1255.969676,200,46.692526
-1392.057489,200,46.780146
-1731.609457,200,46.868037
-970.205872,200,46.956951
-1049.362224,200,47.049413
-1349.072494,200,47.138223
-1249.671688,200,47.226958
-1351.842788,200,47.314936
-1125.601006,200,47.402705
-1102.220273,200,47.490598
-1089.231336,200,47.579263
-915.329838,200,48.323352
-1111.243828,200,48.410228
-885.28739,200,48.496342
-1154.091825,200,48.582346
-866.804174,200,48.668329
-1023.042503,200,48.756757
-744.428584,200,48.843241
-1131.600966,200,48.929923
-1026.612578,200,49.016334
-1423.437221,200,49.102762
-1767.150183,200,49.84992
-996.406349,200,49.937232
-902.977172,200,50.02859
-858.369705,200,50.115333
-781.258249,200,50.202957
-893.371505,200,50.289816
-1124.513967,200,50.376077
-1076.808827,200,50.462508
-934.106293,200,50.549869
-996.004188,200,50.63634
-1082.932751,200,51.391
-972.142538,200,51.479514
-1568.617465,200,51.567496
-1122.200446,200,51.656073
-1227.451027,200,51.746129
-1429.770994,200,51.836024
-1006.611103,200,51.924922
-1547.590058,200,52.014212
-1010.846904,200,52.102854
-792.911172,200,52.191922
-1096.331018,200,52.935923
-1002.825364,200,53.029038
-1017.66095,200,53.121395
-874.837157,200,53.213575
-1137.113581,200,53.305678
-889.664302,200,53.396808
-1154.716679,200,53.487824
-1199.330808,200,53.580275
-1314.768655,200,53.671056
-914.12297,200,53.763578
-1000.131525,200,53.855958
-1053.745548,200,54.603639
-1182.832146,200,54.692896
-1133.2227,200,54.784565
-910.705915,200,54.874265
-935.08412,200,54.963306
-1009.663371,200,55.053107
-1054.314395,200,55.142703
-1018.186231,200,55.232338
-892.30767,200,55.321697
-1163.109501,200,55.412207
-1267.060665,200,56.194673
-1485.54754,200,56.284098
-1016.305144,200,56.373305
-898.537017,200,56.462318
-821.875357,200,56.552344
-997.43859,200,56.641433
-1235.194149,200,56.731467
-1609.958272,200,56.821293
-1136.017293,200,56.91119
-889.838511,200,57.000673
-1005.997501,200,57.754585
-888.826397,200,57.844375
-918.76897,200,57.934263
-882.503309,200,58.024044
-859.794614,200,58.113732
-1132.295023,200,58.203304
-1076.832018,200,58.292777
-1348.109049,200,58.382786
-1155.059735,200,58.472135
-1132.459194,200,58.561191
-985.643913,200,59.304647
-1099.076796,200,59.393061
-862.91923,200,59.481787
-1188.727894,200,59.571965
-1170.768043,200,59.660592
-1073.090875,200,59.750736
-886.521098,200,59.840074
-1040.658207,200,59.929483
-1000.218342,200,60.01901
-982.655652,200,60.108538
-1239.849201,200,60.199326
-1261.6653,200,60.957993
-1006.234619,200,61.047857
-1341.74171,200,61.13793
-1024.735861,200,61.227803
-1136.362034,200,61.317578
-876.991698,200,61.408367
-1481.769751,200,61.497408
-1266.030681,200,61.586358
-1311.683196,200,61.675568
-1027.138318,200,61.765794
-874.996575,200,62.541051
-1244.755954,200,62.632465
-989.969714,200,62.719899
-1523.430938,200,62.807983
-787.751498,200,62.895987
-1062.234636,200,62.984185
-997.589488,200,63.072184
-1075.350745,200,63.16139
-947.844045,200,63.249335
-1220.125603,200,63.336344
-897.673345,200,64.09034
-1083.501522,200,64.179311
-1043.021526,200,64.268615
-1000.89799,200,64.358949
-1036.419374,200,64.447613
-1057.323243,200,64.536372
-1120.300097,200,64.624724
-1149.20055,200,64.714013
-1102.863719,200,64.803296
-1060.358667,200,64.892816
-1005.760071,200,65.646856
-1047.003651,200,65.736605
-1051.597617,200,65.826033
-1135.603023,200,65.915811
-986.431158,200,66.005491
-1011.331429,200,66.094911
-1305.136359,200,66.186255
-914.196311,200,66.275584
-878.166043,200,66.364019
-885.38622,200,66.452273
-707.59992,200,66.540884
-1013.714769,200,67.291542
-1126.655195,200,67.380241
-867.495876,200,67.468333
-925.305842,200,67.55589
-1147.617742,200,67.644603
-991.704547,200,67.733448
-905.886941,200,67.821942
-1175.80817,200,67.910291
-1235.5068,200,68.000281
-1048.148401,200,68.088361
-874.317163,200,68.834295
-1020.225086,200,68.923291
-972.785141,200,69.012152
-1088.032073,200,69.101317
-986.497551,200,69.192202
-953.268977,200,69.281121
-945.962423,200,69.369731
-1428.131745,200,69.457734
-1249.325964,200,69.546139
-1312.655044,200,69.634761
-1055.669632,200,70.383117
-866.942077,200,70.471729
-1124.367981,200,70.56004
-1024.030747,200,70.648308
-873.291364,200,70.737966
-857.373763,200,70.827423
-1004.415122,200,70.916682
-1237.367766,200,71.007597
-916.778352,200,71.096586
-996.930305,200,71.185781
-1392.870599,200,71.940739
-914.902548,200,72.027903
-787.755063,200,72.114709
-1071.539541,200,72.2066
-983.499077,200,72.293607
-1403.490084,200,72.380136
-862.952722,200,72.466395
-1268.454985,200,72.553113
-754.537688,200,72.639559
-781.927218,200,72.727601
-1027.893793,200,72.817064
-1279.918349,200,73.582135
-752.977288,200,73.670537
-904.981894,200,73.760465
-1043.073714,200,73.850142
-1214.771665,200,73.939974
-840.668588,200,74.031122
-975.466824,200,74.120348
-1051.705545,200,74.209822
-900.201134,200,74.29896
-1356.392774,200,74.387429
-980.32357,200,75.131467
-765.328841,200,75.221874
-870.329526,200,75.31123
-874.638999,200,75.39975
-1110.067741,200,75.4883
-1079.941859,200,75.576461
