/home/menzzz/anaconda3/envs/py38/lib/python3.8/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
/home/menzzz/anaconda3/envs/py38/lib/python3.8/site-packages/gym/core.py:317: DeprecationWarning: [33mWARN: Initializing wrapper in old step API which returns one bool instead of two. It is recommended to set `new_step_api=True` to use new step API. This will be the default behaviour in future.[0m
  deprecation(
/home/menzzz/anaconda3/envs/py38/lib/python3.8/site-packages/gym/wrappers/step_api_compatibility.py:39: DeprecationWarning: [33mWARN: Initializing environment in old step API which returns one bool instead of two. It is recommended to set `new_step_api=True` to use new step API. This will be the default behaviour in future.[0m
  deprecation(
/home/menzzz/anaconda3/envs/py38/lib/python3.8/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
[Epoch 74/300] Train Loss: 0.0145 | Val Loss: 0.0155
[Epoch 75/300] Train Loss: 0.0146 | Val Loss: 0.0141
[Epoch 76/300] Train Loss: 0.0144 | Val Loss: 0.0153
[Epoch 77/300] Train Loss: 0.0139 | Val Loss: 0.0184
[Epoch 78/300] Train Loss: 0.0140 | Val Loss: 0.0152
[Epoch 79/300] Train Loss: 0.0136 | Val Loss: 0.0160
[Epoch 80/300] Train Loss: 0.0138 | Val Loss: 0.0136
[Epoch 81/300] Train Loss: 0.0139 | Val Loss: 0.0148
[Epoch 82/300] Train Loss: 0.0145 | Val Loss: 0.0141
[Epoch 83/300] Train Loss: 0.0141 | Val Loss: 0.0127
[Epoch 84/300] Train Loss: 0.0134 | Val Loss: 0.0137
[Epoch 85/300] Train Loss: 0.0131 | Val Loss: 0.0137
[Epoch 86/300] Train Loss: 0.0128 | Val Loss: 0.0138
[Epoch 87/300] Train Loss: 0.0132 | Val Loss: 0.0132
[Epoch 88/300] Train Loss: 0.0135 | Val Loss: 0.0138
[Epoch 89/300] Train Loss: 0.0130 | Val Loss: 0.0117
[Epoch 90/300] Train Loss: 0.0125 | Val Loss: 0.0129
[Epoch 91/300] Train Loss: 0.0136 | Val Loss: 0.0142
[Epoch 92/300] Train Loss: 0.0128 | Val Loss: 0.0130
